Filename,Verification Result
combined_call_4.mp3,Call quality checked for file: F:\machine learning\qulity model\test model\Flask app\uploaded audios\combined_call_4.mp3
combined_call_4.mp3,Call quality checked for file: F:\machine learning\qulity model\test model\Flask app\uploaded audios\combined_call_4.mp3
combined_call_3.mp3,Call quality checked for file: F:\machine learning\qulity model\test model\Flask app\uploaded audios\combined_call_3.mp3
combined_call_6.mp3,Not Verified
combined_call_10.mp3,Verified
combined_call_10.mp3,Verified
combined_call_0.mp3,Not Verified
combined_call_13.mp3,Not Verified
combined_call_8.mp3,Verified
combined_call_8.mp3,Verified
