Call ID,Correct Info/Solution Given,Questioning Techniques,Service Experience,Active listening/Clear Communication,System Referring,Providing Self Help Compliance Critical Accuracy,Verifications,General Respect,End Greeting,Acknowledgement/Empathy
100,0,3,0,0,0,0,0,0,1,0
101,0,3,0,0,0,0,0,0,1,0
102,5,3,3,3,3,3,3,1,1,1
103,5,3,3,3,3,3,3,1,1,1
104,5,3,3,3,3,3,3,1,1,1
105,5,3,3,3,3,3,3,1,1,1
106,5,3,3,3,3,3,3,1,1,1
107,5,3,3,3,3,3,0,1,1,1
108,5,3,3,3,3,3,3,1,1,1
109,5,3,3,3,3,3,3,1,1,1
110,5,3,3,3,3,3,3,1,1,1
111,5,3,3,3,3,3,0,1,1,0
112,5,3,3,3,3,3,3,1,1,1
113,5,3,3,3,3,3,0,0,1,0
114,5,3,3,3,3,3,0,1,1,1
115,5,3,3,3,3,3,3,1,1,1
116,5,3,3,3,3,3,0,1,1,1
117,5,3,3,3,3,3,3,1,1,1
118,5,3,3,3,0,3,0,1,1,0
119,5,3,3,3,3,3,3,1,1,1
120,5,3,3,3,3,3,0,1,1,1
121,5,3,3,3,3,3,3,1,1,1
122,5,3,3,3,3,3,0,0,1,0
123,5,3,3,3,3,3,3,1,1,1
124,0,3,0,0,0,0,0,0,1,0
125,5,3,3,3,3,3,0,1,1,0
126,5,3,3,3,3,3,3,1,1,1
127,5,3,3,3,3,3,3,1,1,1
128,5,3,3,3,3,3,0,1,1,1
129,5,3,3,3,3,3,0,1,1,1
130,5,3,3,3,3,3,0,1,1,1
131,5,3,3,3,3,3,3,1,1,1
132,5,3,3,3,3,3,0,1,1,0
133,5,3,3,3,3,3,0,1,1,1
134,5,3,3,3,3,3,0,1,1,0
135,5,3,3,3,3,3,3,1,1,1
136,5,3,3,3,3,3,3,1,1,1
137,5,3,3,3,3,3,0,1,1,0
138,5,3,3,3,3,3,0,1,1,0
139,5,3,3,3,3,3,0,1,1,1
140,5,3,3,3,3,3,3,1,1,1
141,5,3,3,3,3,3,3,1,1,1
142,5,3,3,3,3,3,3,1,1,1
143,5,3,3,3,3,3,0,1,1,1
144,5,3,3,3,3,3,0,1,1,1
145,5,3,3,3,3,3,3,1,1,1
146,5,3,3,3,3,3,3,1,1,1
147,5,3,3,3,3,3,3,1,1,1
148,5,3,3,3,3,3,3,1,1,1
149,5,3,3,3,3,3,3,1,1,1
150,5,3,3,3,3,3,0,1,1,1
151,5,3,3,3,3,3,0,1,1,1
152,5,3,3,3,3,3,3,1,1,1
153,5,3,3,3,3,3,3,1,1,1
154,5,3,3,3,3,3,0,1,1,1
155,5,3,3,3,3,3,3,1,1,1
156,5,3,3,3,3,3,3,1,1,1
157,5,3,3,3,3,3,0,1,1,1
158,5,3,3,3,3,3,0,1,1,1
159,5,3,3,3,3,3,3,1,1,1
160,5,3,3,3,3,3,3,1,1,1
161,5,3,3,3,3,3,0,1,1,0
162,5,3,3,3,3,3,3,1,1,1
163,5,3,3,3,3,3,0,1,1,0
164,5,3,3,3,3,3,0,1,1,0
165,5,3,3,3,3,3,0,1,1,0
166,5,3,3,3,3,3,3,1,1,1
167,5,3,3,3,3,3,3,1,1,1
168,5,3,3,3,3,3,3,1,1,1
169,5,3,3,3,3,3,0,1,1,1
170,5,3,3,3,3,3,3,1,1,1
171,5,3,3,3,3,3,3,1,1,1
172,5,3,3,3,3,3,3,1,1,1
173,5,3,3,3,3,3,0,1,1,1
174,5,3,3,3,3,3,3,1,1,1
175,5,3,3,3,3,3,3,1,1,1
176,5,3,3,3,3,3,0,1,1,1
177,5,3,3,3,3,3,3,1,1,1
178,5,3,3,3,3,3,3,1,1,1
179,5,3,3,3,3,3,3,1,1,1
180,5,3,3,3,3,3,3,1,1,1
181,5,3,3,3,3,3,3,1,1,1
182,5,3,3,3,3,3,3,1,1,1
183,5,3,3,3,3,3,3,1,1,1
184,5,3,3,3,3,3,0,1,1,0
185,5,3,3,3,3,3,3,1,1,1
186,5,3,3,3,3,3,3,1,1,1
187,5,3,3,3,3,3,3,1,1,1
188,5,3,3,3,3,3,0,1,1,1
189,5,3,3,3,3,3,3,1,1,1
190,5,3,3,3,3,3,0,1,1,1
191,5,3,3,3,3,3,3,1,1,1
192,5,3,3,3,3,3,0,1,1,1
193,0,0,0,3,0,0,0,0,1,0
194,5,3,3,3,3,3,3,1,1,1
195,5,3,3,3,3,3,3,1,1,1
196,5,3,3,3,3,3,3,1,1,1
197,5,3,3,3,3,3,3,1,1,1
198,5,3,3,3,3,3,3,1,1,1
199,5,3,3,3,3,3,0,1,1,1
